作品名,作者,調達元(source),利用条件,確認日,備考
神奈川沖浪裏 (The Great Wave off Kanagawa),Katsushika Hokusai,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,METメトロポリタン美術館収蔵作品のCommons掲載画像
凱風快晴 (Fine Wind, Clear Morning),Katsushika Hokusai,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,Indianapolis Museum of Art経由(Google Art Project)
甲州石班沢 (Kajikazawa in Kai Province),Katsushika Hokusai,wikimedia,CC0 (MET Open Access),2026-08-15,MET DP141085
駿州江尻 (Ejiri in Suruga Province),Katsushika Hokusai,wikimedia,CC0 (MET Open Access),2026-08-15,MET DP141046
諸国滝廻り 下野黒髪山きりふりの滝,Katsushika Hokusai,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,Philadelphia Museum of Art経由(Google Art Project)
名所江戸百景 大はしあたけの夕立,Utagawa Hiroshige,wikimedia,CC0 (MET Open Access),2026-08-15,MET DP123602
東海道五十三次 日本橋・朝之景,Utagawa Hiroshige,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,The British Museum収蔵(保永堂版)
東海道五十三次 蒲原・夜之雪,Utagawa Hiroshige,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,LACMA M.49.5.1
名所江戸百景 亀戸梅屋舗,Utagawa Hiroshige,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,Cantor Arts Center, Stanford経由(Google Art Project)
東海道五十三次 庄野・白雨,Utagawa Hiroshige,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,Suntory Museum of Art経由(Google Art Project)
大谷鬼次の奴江戸兵衛,Tōshūsai Sharaku,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MET収蔵
当時三美人,Kitagawa Utamaro,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,Toledo Museum of Art経由(Google Art Project)
高島おひさ,Kitagawa Utamaro,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MFA Boston 21.6410
名所江戸百景 両国橋大川端,Utagawa Hiroshige,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,Brooklyn Museum収蔵
八橋図屏風 (Irises at Yatsuhashi),Ogata Kōrin,wikimedia,CC0 (MET Open Access),2026-08-15,MET DP153048
風神雷神図屏風 (Wind God and Thunder God),Tawaraya Sōtatsu,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,京都国立博物館(仁和寺)収蔵・国宝
波濤図屏風 (Rough Waves),Ogata Kōrin,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MET収蔵
檜図屏風 (Cypress Trees),Kanō Eitoku,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,東京国立博物館収蔵
老梅図襖 (Old Plum),Kanō Sansetsu,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MET DT229
鶉図 (Quail and Autumn Flowers),Tosa Mitsuoki,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MET 36.100.52
指頭山水図 (Finger Painting of a Landscape),Ike no Taiga,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MET 1975.268.93
奥の細道図扇面,Yosa Buson,wikimedia,パブリックドメイン(著作権保護期間満了),2026-08-15,MET 2015.300.159
